nom,numPmu,age,sexe,race,statut,placeCorde,oeilleres,proprietaire,entraineur,driver,robe,musique,nombreCourses,nombreVictoires,nombrePlaces,gainsCarriere,handicapValeur,poidsConditionMonte,urlCasaque
MALTOCK D'ORGERES,1,3,HONGRES,PUR-SANG,PARTANT,5,SANS_OEILLERES,S.TUBIANA,M.SEROR (S),G.MEURY,(23)0p1p1pTp7p7p,6,2,0,2125000,36.5,570,https://www.pmu.fr/back-assets/hippique/casaques/05012024/R1/C1/P1.png
CHANAZ,2,3,MALES,PUR-SANG,PARTANT,4,OEILLERES_CLASSIQUE,V.CAPOCASALE,HA.PANTALL (S),I.MENDIZABAL,(23)8p7p9p3p7p,5,0,1,345000,29.0,,https://www.pmu.fr/back-assets/hippique/casaques/05012024/R1/C1/P2.png
GO WITH THE ROSES,3,3,FEMELLES,PUR-SANG,PARTANT,9,OEILLERES_CLASSIQUE,J.CNOCKAERT,A.FOUASSIER,P.REMOUE,(23)7p,1,0,0,0,,540,https://www.pmu.fr/back-assets/hippique/casaques/05012024/R1/C1/P3.png
ON BORROWED TIME,4,3,FEMELLES,PUR-SANG,PARTANT,12,SANS_OEILLERES,G.AUGUSTIN-NORMAND,FR.MONFORT (S),M.EON,(23)6p8p4p2p3p6p1p5p1p,9,2,4,1231400,,545,https://www.pmu.fr/back-assets/hippique/casaques/05012024/R1/C1/P4.png
INSTANTANEMENT,5,3,FEMELLES,PUR-SANG,PARTANT,8,SANS_OEILLERES,ECURIE NORMANDY SPIRIT,S.WATTEL (S),A.MASSIN,(23)0p,1,0,0,0,,545,https://www.pmu.fr/back-assets/hippique/casaques/05012024/R1/C1/P5.png
OBJECTIF LUNE,6,3,FEMELLES,PUR-SANG,PARTANT,2,SANS_OEILLERES,L.L.PONTOIR (S),L.PONTOIR (S),S.PASQUIER,(23)0p,1,0,0,0,,,https://www.pmu.fr/back-assets/hippique/casaques/05012024/R1/C1/P6.png
RUE DES ORTEAUX,7,3,FEMELLES,PUR-SANG,PARTANT,3,SANS_OEILLERES,ME.UZAN,F.BELLEMERE,T.BACHELOT,(23)7p1p0p,3,1,0,950000,33.0,,https://www.pmu.fr/back-assets/hippique/casaques/05012024/R1/C1/P7.png
SOGNIAMO,8,3,FEMELLES,PUR-SANG,PARTANT,7,SANS_OEILLERES,J.D'AMATO,G.BIETOLINI,F.VALLE SKAR,(23)9p0p6p4p6p4p2p,7,0,3,1130000,31.0,530,https://www.pmu.fr/back-assets/hippique/casaques/05012024/R1/C1/P8.png
SUMMER FLIRT,9,3,FEMELLES,PUR-SANG,PARTANT,1,OEILLERES_AUSTRALIENNES,MLLE V.DISSAUX,MLLE V.DISSAUX,L.BOISSEAU,(23)0p0p6p,3,0,0,0,30.0,,https://www.pmu.fr/back-assets/hippique/casaques/05012024/R1/C1/P9.png
AMALYA,10,3,FEMELLES,PUR-SANG,PARTANT,10,SANS_OEILLERES,ECURIE ADES HAZAN,S.KOBAYASHI (S),E.HARDOUIN,(23)4p1p6p2p5p,5,1,3,1470000,34.5,,https://www.pmu.fr/back-assets/hippique/casaques/05012024/R1/C1/P10.png
ASTURIAS,11,3,FEMELLES,PUR-SANG,PARTANT,6,SANS_OEILLERES,HARAS D'ETREHAM,N.LE ROCH,D.PROVOST,(23)9p8p,2,0,0,0,,520,https://www.pmu.fr/back-assets/hippique/casaques/05012024/R1/C1/P11.png
FLY FALCON FLY,12,3,FEMELLES,PUR-SANG,PARTANT,13,OEILLERES_CLASSIQUE,O.MATKOVIC,S.CERULIS,M.MARQUETTE,(23)8p0p7p8p6p8p0p,7,0,0,0,26.5,520,https://www.pmu.fr/back-assets/hippique/casaques/05012024/R1/C1/P12.png
ROUANITA,13,3,FEMELLES,PUR-SANG,PARTANT,11,OEILLERES_AUSTRALIENNES,SHAMROCK R. /L. DYER /P. CHERQUI,N.CLEMENT (S),A.MOLINS,(23)3p4p7p1p8p3p2p7p0p,10,1,4,2170000,32.5,530,https://www.pmu.fr/back-assets/hippique/casaques/05012024/R1/C1/P13.png
